feature,mean_importance
feature_5,-3.611175758582164e-05
feature_82,-1.655067046661962e-05
feature_19,-1.1442154248664238e-05
feature_62,-2.220446049250313e-16
feature_98,-2.220446049250313e-16
feature_80,-1.3322676295501878e-16
feature_69,-1.3322676295501878e-16
feature_84,-1.3322676295501878e-16
feature_22,-1.3322676295501878e-16
feature_32,-8.881784197001253e-17
feature_43,-8.881784197001253e-17
feature_47,-8.881784197001253e-17
feature_26,-8.881784197001253e-17
feature_88,-8.881784197001253e-17
feature_90,-8.881784197001253e-17
feature_92,-8.881784197001253e-17
feature_51,-8.881784197001253e-17
feature_75,-8.881784197001253e-17
feature_9,-8.881784197001253e-17
feature_12,-8.881784197001253e-17
feature_6,-8.881784197001253e-17
feature_11,-8.881784197001253e-17
feature_95,-8.881784197001253e-17
feature_97,-8.881784197001253e-17
feature_89,-4.4408920985006264e-17
feature_41,-4.4408920985006264e-17
feature_72,-4.4408920985006264e-17
feature_71,-4.4408920985006264e-17
feature_70,-4.4408920985006264e-17
feature_65,-4.4408920985006264e-17
feature_55,-4.4408920985006264e-17
feature_57,-4.4408920985006264e-17
feature_58,-4.4408920985006264e-17
feature_67,-4.4408920985006264e-17
feature_83,-4.4408920985006264e-17
feature_66,-4.4408920985006264e-17
feature_99,-4.4408920985006264e-17
feature_50,-4.4408920985006264e-17
feature_38,-4.4408920985006264e-17
feature_94,-4.4408920985006264e-17
feature_27,-4.4408920985006264e-17
feature_2,-4.4408920985006264e-17
feature_31,-4.4408920985006264e-17
feature_4,-4.4408920985006264e-17
feature_23,-4.4408920985006264e-17
feature_20,-4.4408920985006264e-17
feature_93,-4.4408920985006264e-17
feature_29,-4.4408920985006264e-17
feature_96,0.0
feature_24,0.0
feature_39,0.0
feature_15,0.0
feature_14,0.0
feature_10,0.0
feature_77,0.0
feature_81,0.0
feature_16,0.0
feature_76,0.0
feature_54,0.0
feature_91,0.0
feature_45,0.0
feature_52,0.0
feature_49,0.0
feature_86,0.0
feature_30,0.0
feature_56,2.208889662913549e-06
feature_36,7.4785304807090116e-06
feature_21,8.888375615390132e-06
feature_87,9.220269310805662e-06
feature_34,1.4530408979052111e-05
feature_79,2.1082638321745507e-05
feature_46,2.3349817064932666e-05
feature_13,3.6057894812380195e-05
feature_85,4.662145426554964e-05
feature_7,4.724496524612931e-05
feature_78,7.156051078682779e-05
feature_100,7.455117757482199e-05
feature_73,9.634852912858705e-05
feature_74,0.0001336288998072366
feature_1,0.0001372861942430248
feature_17,0.00025665694577829966
feature_28,0.00029280039569701266
feature_42,0.00035273108587419166
feature_48,0.0003846300194205288
feature_59,0.00045795526313852086
feature_64,0.0007045267409060418
feature_3,0.0007771950183746324
feature_63,0.0022199308055832036
feature_8,0.0026586032544711367
feature_60,0.003282461672635506
feature_18,0.005823879387850584
feature_61,0.008125065212300654
feature_25,0.008237816473476035
feature_40,0.011223981539748218
feature_35,0.013808191943767544
feature_53,0.02374939428814078
feature_33,0.024546139917210042
feature_68,0.027656075858355455
feature_44,0.03857305235095789
feature_37,0.10312018244986727
