feature,mean_importance
feature_75,-0.005235462711944372
feature_7,-0.003530506872800143
feature_38,-0.003474090052001011
feature_36,-0.0034014858664055845
feature_22,-0.0015880863988833038
feature_52,-0.0014261387694143091
feature_15,-0.001217361638742398
feature_84,-0.0011454471862512694
feature_62,-0.0007477695359954905
feature_89,-0.0006493171888833915
feature_6,-0.00023070097569839466
feature_24,-0.0001702109220640846
feature_2,-2.056185315613135e-05
feature_97,5.2694015582610554e-05
feature_45,0.00012339432782322303
feature_98,0.00022024059730505475
feature_80,0.0003373954434577886
feature_4,0.00040459267923667055
feature_91,0.00042873713105142654
feature_20,0.0006151778866167135
feature_29,0.000884188426166821
feature_14,0.0010870589435998611
feature_16,0.0011523608168127585
feature_50,0.001219571516623197
feature_31,0.0017101013910086672
feature_94,0.0017389806774947836
feature_55,0.0017669303415644543
feature_56,0.0018373457721220898
feature_12,0.001853575913219907
feature_92,0.001998871380159617
feature_13,0.002525326685559115
feature_95,0.0025635622896361897
feature_47,0.0027014537485509525
feature_23,0.0028472625143988184
feature_90,0.0031712008496892043
feature_74,0.003179884417389256
feature_99,0.0033433971881614345
feature_10,0.0035562722570502414
feature_27,0.003678921424791448
feature_70,0.0038721841210296094
feature_76,0.0039571069117285695
feature_77,0.004419066513178716
feature_46,0.004485541568360829
feature_43,0.00455864897810665
feature_86,0.0046422072514100245
feature_66,0.004871425907220628
feature_96,0.0049664171992405805
feature_65,0.004995110806482716
feature_30,0.005076105031527134
feature_81,0.005108202288387376
feature_79,0.00556494844715052
feature_78,0.005571430162704916
feature_82,0.005693678856875351
feature_41,0.005704131667606105
feature_59,0.005736291380801384
feature_21,0.006098733766930153
feature_83,0.006762770836186682
feature_28,0.00688297687281596
feature_73,0.006955244951107708
feature_11,0.0069827767630593176
feature_93,0.007298874684319112
feature_49,0.007365491725362383
feature_39,0.0074137964500125
feature_9,0.007684914640137608
feature_88,0.007701461614027627
feature_69,0.007779068429185632
feature_5,0.00807608379439897
feature_3,0.00820170416478223
feature_57,0.008389444115816214
feature_54,0.008399342065964155
feature_100,0.00847756679981202
feature_71,0.008930327559453066
feature_48,0.009842548248965511
feature_32,0.010028086239615198
feature_42,0.010192697054718014
feature_87,0.010559669307936236
feature_85,0.012429283214378372
feature_40,0.012565835511575262
feature_1,0.012572489856962688
feature_51,0.012627857504719842
feature_25,0.012816901319284235
feature_26,0.013349291611892133
feature_17,0.014551841433664326
feature_58,0.016730873347585162
feature_34,0.0169594883744163
feature_63,0.017019343116199615
feature_64,0.0195181717341276
feature_72,0.023447948290943255
feature_67,0.023700075379849972
feature_33,0.024300219938220534
feature_61,0.02468273439625457
feature_60,0.026689994388155624
feature_19,0.033770710634825486
feature_53,0.03611387318009176
feature_35,0.04252316749928118
feature_8,0.05068862540767509
feature_18,0.05735392185447354
feature_68,0.06080869923243597
feature_37,0.0839855541605582
feature_44,0.08412193316106639
